REV	MU_E	MU_T	TAU_E	TAU_T	GAIN	OFFSET	FLAG_MU_E	FLAG_MU_T	FLAG_TAU_E	FLAG_TAU_T	FLAG_GAIN	FLAG_OFFSET
50	873.761919223534	57.21123597932395	1.58602180137725e-06	5.9157005855177e-06	8.077544426494347	-5.879976502861377	0	0	0	0	0	0	
51	853.8456114682841	55.19317718665164	1.60556762618058e-06	5.89155892118081e-06	8.077544426494347	-5.736831823199691	0	0	0	0	0	0	
52	847.22726246508	57.3477249661974	1.59596741188739e-06	6.00028917391939e-06	8.077544426494347	-5.955974730320111	0	0	0	0	0	0	
53	863.9380474710479	55.37978490975176	1.58700417553606e-06	6.03255278377213e-06	8.077544426494347	-6.139966253947331	0	0	0	0	0	0	
54	854.3865389930929	57.34650613274817	1.62909046919922e-06	5.87332904629675e-06	8.077544426494347	-6.241497240430612	0	0	1	0	0	0	
55	866.4960954480779	68.36303348106594	1.51697639822367e-06	5.68431329912013e-06	8.077544426494347	-5.651863002239162	0	1	1	0	0	0	
56	866.244722634644	57.54829470040286	1.56416046899255e-06	6.05244221704603e-06	8.077544426494347	-6.048251944994958	0	0	0	0	0	0	
57	886.967123486729	58.11685776030048	1.52793975654167e-06	5.90312566934411e-06	8.077544426494347	-6.072037067827657	0	0	0	0	0	0	
58	854.9741843283988	56.8723040536961	1.67594196835867e-06	5.82808063414835e-06	8.077544426494347	-7.256174973443465	0	0	0	0	0	1	
59	848.1108823396844	57.08209973812411	1.63871478155836e-06	5.89839368689212e-06	8.077544426494347	-6.412648393415298	0	0	0	0	0	0	
60	865.4684208870544	57.69245407780625	1.58355218192099e-06	6.01403208907139e-06	8.077544426494347	-6.150398363845605	0	0	0	0	0	0	
61	865.8592076281495	59.76191996757447	1.63080194884526e-06	6.01588664022493e-06	8.077544426494347	-7.85779691791071	0	1	0	0	0	1	
62	890.485177694307	58.26336038720778	1.46978253685032e-06	6.01889211087823e-06	8.077544426494347	-5.754097687545673	0	0	1	0	0	0	
63	855.5944872620302	56.44217743819597	1.61651529173194e-06	5.86860572281861e-06	8.077544426494347	-7.579849367963192	0	0	0	0	0	1	
64	867.2512852973998	57.7837391222816	1.53968485923481e-06	5.8309207657982e-06	8.077544426494347	-5.577186533533784	0	0	0	0	0	0	
65	885.484782456204	57.83978466236245	1.51043974771441e-06	5.88059235480918e-06	8.077544426494347	-5.655871550841846	0	0	0	0	0	0	
66	864.6424911385575	59.91023214301629	1.49495754972964e-06	6.23425843964562e-06	8.077544426494347	-5.306409007993026	0	1	0	1	0	0	
67	862.0013848972361	55.48270057399954	1.54366629875087e-06	5.94215084299903e-06	8.077544426494347	-5.864706822112447	0	0	0	0	0	0	
68	890.6625983836772	57.91203055034256	1.48577422431365e-06	6.01092316724718e-06	8.077544426494347	-5.93895178235923	0	0	0	0	0	0	
69	869.3628207034238	58.16894113077915	1.54787443343038e-06	5.84650756937089e-06	8.077544426494347	-6.161240186533223	0	0	0	0	0	0	
70	859.5377676926175	54.71491909939915	1.6654676065484e-06	5.52745987498054e-06	8.077544426494347	-7.18103739464299	0	1	0	1	0	0	
71	853.4246411437172	57.29108353043276	1.54797033558581e-06	6.06169395177296e-06	8.077544426494347	-5.620688124320151	0	0	0	0	0	0	
72	888.2400372802371	58.08441117465835	1.47239854153666e-06	6.0853856902698e-06	8.077544426494347	-5.879817029067068	0	0	0	0	0	0	
73	869.8532884564063	55.38341528145173	1.56088753226402e-06	5.88385675610445e-06	8.077544426494347	-6.007749921665233	0	0	0	0	0	0	
74	854.744121652031	57.55941433721987	1.52964397565291e-06	5.82543452825032e-06	8.077544426494347	-5.398746723589248	0	0	0	0	0	0	
75	848.279167312983	58.68654857618368	1.62065541880074e-06	7.54037613419702e-06	8.077544426494347	-6.027770122630485	0	0	0	1	0	0	
76	871.9285104597033	57.12685803684227	1.47881554892212e-06	7.31659865908129e-06	8.077544426494347	-5.702885187266141	0	0	0	1	0	0	
77	859.299109177979	55.33120377087133	1.52325189065543e-06	6.1470756305612e-06	8.077544426494347	-5.498811489005538	0	0	0	0	0	0	
78	837.5603735265814	60.4215915756915	1.55451731868286e-06	6.17436500488806e-06	8.077544426494347	-5.85879831606693	1	1	0	0	0	0	
79	858.0103246505403	57.17965366055903	1.63099445266846e-06	5.95078245051453e-06	8.077544426494347	-7.707981744637636	0	0	0	0	0	1	
80	867.6095402928207	57.48391120653024	1.5706189448312e-06	5.96503703820002e-06	8.077544426494347	-7.977741267319459	0	0	0	0	0	1	
81	857.533818344783	56.90162270030064	1.52111745284869e-06	5.93594405328553e-06	8.077544426494347	-5.938840283681981	0	0	0	0	0	0	
82	859.8057278983256	56.07743349983475	1.52553771700236e-06	6.0270703155642e-06	8.077544426494347	-6.446179893581873	0	0	0	0	0	0	
83	850.0963018205218	57.12442211577793	1.51141475344538e-06	6.07985640449138e-06	8.077544426494347	-6.16379883138355	0	0	0	0	0	0	
84	863.782318884811	56.79230923704483	1.47383156929106e-06	5.82929289231248e-06	8.077544426494347	-5.613695564372432	0	0	0	0	0	0	
85	861.8831828195371	57.66591534522063	1.47979606719814e-06	6.08969520801378e-06	8.077544426494347	-5.787488072851215	0	0	0	0	0	0	
86	856.8862554056618	54.39606269740894	1.47377561734138e-06	6.00684225261074e-06	8.077544426494347	-5.967712794903901	0	1	0	0	0	0	
87	862.640669526804	57.58927202448182	1.45822163229637e-06	5.9397919192432e-06	8.077544426494347	-6.136211659789584	0	0	0	0	0	0	
88	866.9231890097244	57.08781193159783	1.51004592108189e-06	5.97760716560371e-06	8.077544426494347	-6.437826786008298	0	0	0	0	0	0	
89	863.992122144816	55.57284303728699	1.45904184295882e-06	5.54074762966239e-06	8.077544426494347	-5.827289631783625	0	0	0	1	0	0	
90	854.8202797519691	56.61211821811244	1.46883334608667e-06	5.96965245935226e-06	8.077544426494347	-5.776409295441578	0	0	0	0	0	0	
91	852.11092086229	56.73100711331792	1.50280522593039e-06	5.94423814711568e-06	8.077544426494347	-5.8096703263914	0	0	0	0	0	0	
92	864.0023529414182	58.21806434492535	1.50913969651638e-06	5.92682066523029e-06	8.077544426494347	-6.271956278205188	0	0	0	0	0	0	
93	833.3140000721982	53.8493198425853	1.61252362234174e-06	7.43300851666824e-06	8.077544426494347	-5.929463242599655	1	1	0	1	0	0	
94	855.0869273190345	56.8384886424411	1.44579835904182e-06	5.86562106190947e-06	8.077544426494347	-5.735530773231333	0	0	0	0	0	0	
95	851.6801215566826	55.01417462041199	1.50597893966354e-06	5.946413054689e-06	8.077544426494347	-5.806572225606727	0	0	0	0	0	0	
96	853.8895033464961	57.61671855408655	1.46240935622635e-06	5.85154679801676e-06	8.077544426494347	-5.860465161416608	0	0	0	0	0	0	
97	850.6813700694537	55.65075190242671	1.48285091592559e-06	6.02047984212996e-06	8.077544426494347	-5.901531037077934	0	0	0	0	0	0	
98	852.7167379880707	55.3510302232827	1.48750572447705e-06	5.96413614355086e-06	8.077544426494347	-5.532091405964554	0	0	0	0	0	0	
99	873.1600131455704	61.19442923760956	1.42928242131564e-06	5.96574640602846e-06	8.077544426494347	-5.58051670150996	0	1	0	0	0	0	
100	851.6970881635791	56.34712424495072	1.49751098113603e-06	6.01929790272149e-06	8.077544426494347	-6.108029243108978	0	0	0	0	0	0	
101	865.0710366102094	56.819575127169	1.42872199762877e-06	6.03429264759198e-06	8.077544426494347	-5.405990012876088	0	0	0	0	0	0	
102	858.5504275530584	56.18237987590733	1.44185095740233e-06	5.96048771894199e-06	8.077544426494347	-7.238458768955177	0	0	0	0	0	1	
103	869.08649210316	57.0359411766415	1.41929558598293e-06	5.98376010114406e-06	8.077544426494347	-6.527560301062392	0	0	0	0	0	0	
104	853.929654493649	57.86235977404504	1.43644433563796e-06	5.83130810576235e-06	8.077544426494347	-6.031132944879015	0	0	0	0	0	0	
105	861.6835901724995	54.45967363964603	1.48710157287985e-06	6.00766934685459e-06	8.077544426494347	-6.877545089094929	0	0	0	0	0	0	
106	849.7191462285265	53.98911560250184	1.48364417925476e-06	6.19572577485089e-06	8.077544426494347	-6.649138424704631	0	1	0	0	0	0	
107	859.411110838791	53.67458301669348	1.48284117816322e-06	6.15068322522627e-06	8.077544426494347	-6.267268617477225	0	1	0	0	0	0	
108	856.3903178364924	54.50042371432988	1.46342165705048e-06	6.18154212169985e-06	8.077544426494347	-5.960403411290152	0	0	0	0	0	0	
109	855.1444901070787	55.21096844953303	1.46388719146556e-06	6.05716961515309e-06	8.077544426494347	-5.998087576396732	0	0	0	0	0	0	
110	866.4108523821088	57.63071439959943	1.49627276941632e-06	5.97496610766485e-06	8.077544426494347	-7.742307204221509	0	0	0	0	0	1	
111	861.6143501792463	54.28473833919939	1.49592725066948e-06	6.46321762150052e-06	8.077544426494347	-6.927176004042204	0	0	0	1	0	0	
112	870.7875842304018	58.70926819866357	1.47308978972995e-06	7.1826285503842e-06	8.077544426494347	-7.686332162348011	0	0	0	1	0	1	
113	871.3484852538244	57.06838551578171	1.47116934520123e-06	6.42428353051634e-06	8.077544426494347	-7.650597155002629	0	0	0	1	0	1	
114	853.8234937308191	60.60699293177372	1.49601761839324e-06	5.77730432409889e-06	8.077544426494347	-7.516715322498401	0	1	0	0	0	1	
115	870.1355528503341	58.0737085073696	1.44530274294516e-06	5.92946456391921e-06	8.077544426494347	-6.744220464171996	0	0	0	0	0	0	
116	852.7214164206326	53.38594957215297	1.4442630144591e-06	5.94290618298283e-06	8.077544426494347	-6.078746420525202	0	1	0	0	0	0	
